Name,Birth Date,Birth Place,Death Date,Death Place
"Brown, Henry Billings","March 2, 1836","South Lee, MA","September 4, 1913","Bronxville, NY"
"Ellsworth, Oliver","April 29, 1745","Windsor, CT","November 26, 1807","Windsor, CT"
"Woodbury, Levi","December 22, 1789","Francestown, NH","September 4, 1851","Portsmouth, NH"
"Blair, John, Jr.",1732,"Williamsburg, VA","August 31, 1800","Williamsburg, VA"
"Taft, William Howard","September 15, 1857","Cincinnati, OH","March 8, 1930","Washington, DC"
"Hughes, Charles Evans","April 11, 1862","Glens Falls, NY","August 27, 1948","Washington, DC"
"Campbell, John Archibald","June 24, 1811","Washington, GA","March 12, 1889","Baltimore, MD"
"Peckham, Rufus Wheeler","November 8, 1838","Albany, NY","October 24, 1909","Altamont, NY"
"Warren, Earl","March 19, 1891","Los Angeles, CA","July 9, 1974","Washington, DC"
"Jackson, Ketanji Brown",1970,"Washington, DC",,
"Stone, Harlan Fiske","October 11, 1872","Chesterfield, NH","April 22, 1946","Washington, DC"
"Van Devanter, Willis","April 17, 1859","Marion, IN","February 8, 1941","Washington, DC"
"Chase, Samuel","April 17, 1741","Somerset County, MD","June 19, 1811","Baltimore, MD"
"Byrnes, James Francis","May 2, 1882","Charleston, SC","April 9, 1972","Columbia, SC"
"Blatchford, Samuel M.","March 9, 1820","New York, NY","July 7, 1893","Newport, RI"
"Sutherland, George","March 25, 1862","Buckinghamshire, England","July 18, 1942","Stockbridge, MA"
"Barrett, Amy Coney",1972,"New Orleans, LA",,
"Waite, Morrison Remick","November 29, 1816","Lyme, CT","March 23, 1888","Washington, DC"
"Rutledge, John","September 18, 1739","Charleston, SC","June 21, 1800","Charleston, SC"
"Whittaker, Charles Evans",,,"November 26, 1973","Kansas City, MO"
"Burger, Warren Earl","September 17, 1907","St. Paul, MN","June 25, 1995","Alexandria, VA"
"Powell, Lewis Franklin, Jr.","September 19, 1907","Suffolk, VA","August 25, 1998","Richmond, VA"
"Woods, William Burnham","August 3, 1824","Newark, OH","May 14, 1887","Washington, DC"
"McKinley, John","May 1, 1780","Culpeper County, VA","July 19, 1852","Louisville, KY"
"McKenna, Joseph","August 10, 1843","Philadelphia, PA","November 21, 1926","Washington, DC"
"Scalia, Antonin","March 11, 1936","Trenton, NJ","February 13, 2016","Shafter, TX"
"Minton, Sherman","October 20, 1890","Georgetown, IN","April 9, 1965","New Albany, IN"
"Reed, Stanley Forman","December 31, 1884","Minerva, KY","April 2, 1980","Huntington, NY"
"Lamar, Lucius Quintus Cincinnatus","September 17, 1825","Eatonton, GA","January 23, 1893","Macon, GA"
"McLean, John","March 11, 1785","Morris County, NJ","April 4, 1861","Cincinnati, OH"
"Jackson, Howell Edmunds","April 8, 1832","Paris, TN","August 8, 1895","West Meade, TN"
"Marshall, Thurgood","July 2, 1908","Baltimore, MD","January 24, 1993","Washington, DC"
"Bradley, Joseph P.","March 14, 1813","Berne, NY","January 22, 1892","Washington, DC"
"Miller, Samuel Freeman","April 5, 1816","Richmond, KY","October 13, 1890","Washington, DC"
"Roberts, John Glover, Jr.",1955,"Buffalo, NY",,
"Shiras, George, Jr.","January 26, 1832","Pittsburgh, PA","August 2, 1924","Pittsburgh, PA"
"Strong, William","May 6, 1808","Somers, CT","August 19, 1895","Lake Minnewassa, NY"
"Kagan, Elena",1960,"New York, NY",,
"Harlan, John Marshall","June 1, 1833","Boyle County, KY","October 14, 1911","Washington, DC"
"Taney, Roger Brooke","March 17, 1777","Calvert County, MD","October 12, 1864","Washington, DC"
"Rutledge, Wiley Blount","July 20, 1894","Cloverport, KY","September 10, 1949","York, ME"
"Daniel, Peter Vivian","April 24, 1784","Stafford County, VA","May 31, 1860","Richmond, VA"
"Cushing, William","March 1, 1732","Scituate, MA","September 13, 1810","Scituate, MA"
"Lamar, Joseph Rucker","October 14, 1857","Cedar Grove, GA","January 2, 1916","Washington, DC"
"Stevens, John Paul","April 20, 1920","Chicago, IL","July 16, 2019","Fort Lauderdale, FL"
"Kennedy, Anthony McLeod",1936,"Sacramento, CA",,
"Catron, John",1786,PA,"May 30, 1865","Nashville, TN"
