Name,Birth Date,Birth Place,Death Date,Death Place,Birth Lat,Birth Lng,Birth Match,Death Lat,Death Lng,Death Match
"Brown, Henry Billings","March 2, 1836","South Lee, MA","September 4, 1913","Bronxville, NY",42.2780347,-73.2775714,"South Lee, Lee, Berkshire County, Massachusetts, 01260, United States",40.9381544,-73.8320784,"Village of Bronxville, Town of Eastchester, Westchester County, New York, 10708, United States"
"Ellsworth, Oliver","April 29, 1745","Windsor, CT","November 26, 1807","Windsor, CT",41.8525984,-72.6437022,"Windsor, Capitol Planning Region, Connecticut, United States",41.8525984,-72.6437022,"Windsor, Capitol Planning Region, Connecticut, United States"
"Woodbury, Levi","December 22, 1789","Francestown, NH","September 4, 1851","Portsmouth, NH",42.9873315,-71.8126393,"Francestown, Hillsborough County, New Hampshire, United States",43.0751306,-70.7601826,"Portsmouth, Rockingham County, New Hampshire, United States"
"Blair, John, Jr.",1732,"Williamsburg, VA","August 31, 1800","Williamsburg, VA",37.2708788,-76.7074042,"Williamsburg, Virginia, United States",37.2708788,-76.7074042,"Williamsburg, Virginia, United States"
"Taft, William Howard","September 15, 1857","Cincinnati, OH","March 8, 1930","Washington, DC",39.1014537,-84.5124602,"Cincinnati, Hamilton County, Ohio, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Hughes, Charles Evans","April 11, 1862","Glens Falls, NY","August 27, 1948","Washington, DC",43.309941,-73.644447,"City of Glens Falls, Warren County, New York, 12801, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Campbell, John Archibald","June 24, 1811","Washington, GA","March 12, 1889","Baltimore, MD",32.9619979,-82.7748026,"Washington County, Georgia, United States",39.2908816,-76.610759,"Baltimore, Maryland, United States"
"Peckham, Rufus Wheeler","November 8, 1838","Albany, NY","October 24, 1909","Altamont, NY",42.6511674,-73.754968,"City of Albany, Albany County, New York, United States",42.7006324,-74.0337382,"Village of Altamont, Town of Guilderland, Albany County, New York, United States"
"Warren, Earl","March 19, 1891","Los Angeles, CA","July 9, 1974","Washington, DC",34.0536909,-118.242766,"Los Angeles, Los Angeles County, California, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Jackson, Ketanji Brown",1970,"Washington, DC",,,38.8950982,-77.0363849,"Washington, District of Columbia, United States",,,
"Stone, Harlan Fiske","October 11, 1872","Chesterfield, NH","April 22, 1946","Washington, DC",42.8873038,-72.4703661,"Chesterfield, Cheshire County, New Hampshire, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Van Devanter, Willis","April 17, 1859","Marion, IN","February 8, 1941","Washington, DC",40.5583739,-85.6591442,"Marion, Grant County, Indiana, United States",38.8950982,-77.0363849,"Washington, District of Columbia, United States"
"Chase, Samuel","April 17, 1741","Somerset County, MD","June 19, 1811","Baltimore, MD",38.0630795,-75.8745873,"Somerset County, Maryland, United States",39.2908816,-76.610759,"Baltimore, Maryland, United States"
