Name,Education 1,Year 1,Education 2,Year 2,Education 3,Year 3,Education 4,Year 4,Education 5,Year 5
"Alito, Samuel A., Jr.","Princeton University, A.B.",1972,"Yale Law School, J.D.",1975,,,,,,
"Baldwin, Henry","Yale College, B.A.",1797,Read law,1798,,,,,,
"Barbour, Philip Pendleton",Read law,1800,,,,,,,,
"Barrett, Amy Coney","Rhodes College, B.A.",1994,"Notre Dame Law School, J.D.",1997,,,,,,
"Black, Hugo Lafayette","University of Alabama School of Law, LL.B.",1906,,,,,,,,
"Blackmun, Harry Andrew","Harvard College, A.B.",1929,"Harvard Law School, LL.B.",1932,,,,,,
"Blair, John, Jr.","College of William and Mary, A.B.",1754,"Middle Temple, London, England",1756,,,,,,
"Blatchford, Samuel M.","Columbia College, B.A.",1837,Read law,1843,,,,,,
"Bradley, Joseph P.","Rutgers College, B.A.",1836,Read law,1839,,,,,,
"Brandeis, Louis Dembitz","Harvard Law School, LL.B.",1877,,,,,,,,
"Brennan, William Joseph, Jr.","University of Pennsylvania, B.S.",1928,"Harvard Law School, LL.B.",1931,,,,,,
"Brewer, David Josiah",Albany Law School,,"Yale College, A.B.",1856,Read law,1857,,,,
"Breyer, Stephen Gerald","Stanford University, A.B.",1959,"University of Oxford, B.A.",1961,"Harvard Law School, LL.B.",1964,,,,
"Brown, Henry Billings",Yale Law School,,Harvard Law School,,"Yale College, B.A.",1856,Read law,1860,,
"Burger, Warren Earl","St. Paul College of Law (now Mitchell Hamline School of Law), LL.B.",1931,,,,,,,,
"Burton, Harold Hitz","Bowdoin College, A.B.",1909,"Harvard Law School, LL.B.",1912,,,,,,
"Butler, Pierce","Carleton College, B.S.",1887,Read law,1888,,,,,,
"Byrnes, James Francis",Read law,1903,,,,,,,,
"Campbell, John Archibald",Franklin College (now University of Georgia),1825,Read law,1829,,,,,,
"Cardozo, Benjamin Nathan","Columbia College, A.B.",1889,"Columbia Law School, A.M.",1890,,,,,,
"Catron, John",Read law,1815,,,,,,,,
"Chase, Salmon Portland","Dartmouth College, B.A.",1826,Read law,1829,,,,,,
"Chase, Samuel",Read law,1763,,,,,,,,
"Clark, Tom C.","University of Texas, A.B.",1921,"University of Texas School of Law, LL.B.",1922,,,,,,
"Clarke, John Hessin","Western Reserve College (now Case Western Reserve University), A.B.",1877,Read law,1878,,,,,,
"Clifford, Nathan",Read law,1827,,,,,,,,
"Curtis, Benjamin Robbins",Harvard Law School,,"Harvard University, A.B.",1829,,,,,,
"Cushing, William","Harvard College, A.B.",1751,Read law,1755,,,,,,
"Daniel, Peter Vivian",Princeton University,,Read law,1808,,,,,,
"Davis, David","Kenyon College, A.B.",1832,Read law,1834,New Haven Law School (now Yale Law School),,,,,
"Day, William Rufus",University of Michigan,,"University of Michigan, B.S.",1870,Read law,1871,,,,
"Douglas, William Orville","Whitman College, A.B.",1920,"Columbia Law School, LL.B.",1925,,,,,,
"Duvall, Gabriel",Read law,1778,,,,,,,,
"Ellsworth, Oliver","College of New Jersey (now Princeton University), B.A.",1766,Read law,1771,,,,,,
"Field, Stephen Johnson","Williams College, B.A.",1837,Read law,1841,,,,,,
"Fortas, Abe","Southwestern College (now Rhodes College), A.B.",1930,"Yale Law School, LL.B.",1933,,,,,,
"Frankfurter, Felix","City College of New York, B.A.",1902,"Harvard Law School, LL.B.",1906,,,,,,
