Court,LawSchool_clean,count
CURRENT COURT MARCH 2026,Harvard Law School,4
CURRENT COURT MARCH 2026,Yale Law School,4
CURRENT COURT MARCH 2026,Notre Dame Law School,1
March 1951 Supreme Court,Harvard Law School,2
March 1951 Supreme Court,Albany Law School,1
March 1951 Supreme Court,College of Law of Central University,1
March 1951 Supreme Court,Columbia Law School,1
March 1951 Supreme Court,Columbia Law School; University of Virginia School of Law,1
March 1951 Supreme Court,Indiana University School of Law; Yale Law School,1
March 1951 Supreme Court,University of Alabama School of Law,1
March 1951 Supreme Court,University of Texas School of Law,1
March 1976 Supreme Court,Harvard Law School,2
March 1976 Supreme Court,Yale Law School,2
March 1976 Supreme Court,Howard University School of Law,1
March 1976 Supreme Court,Northwestern University School of Law,1
March 1976 Supreme Court,St. Paul College of Law,1
March 1976 Supreme Court,Stanford Law School,1
March 1976 Supreme Court,Washington and Lee University School of Law,1
March 2001 Supreme Court,Harvard Law School,4
March 2001 Supreme Court,Stanford Law School,2
March 2001 Supreme Court,Harvard Law School; Columbia Law School,1
March 2001 Supreme Court,Northwestern University School of Law,1
March 2001 Supreme Court,Yale Law School,1
