Position,Count
Private practice,167
Judge,32
Professor,28
Member,24
Law clerk,21
Delegate,19
State representative,19
U.S. representative,18
U.S. senator,16
Clerk,12
Assistant attorney general,11
Justice,11
Presiding officer,10
U.S. attorney,10
Attorney General of the United States,9
Governor,9
Associate justice,8
Attorney general,8
Director,8
General counsel,8
State delegate,8
State senator,7
Chairman,6
Chief justice,6
Faculty,6
President,6
Editor,5
Mayor,5
Solicitor general of the United States,5
Associate counsel,4
Chair of the board,4
Chancellor,4
City attorney,4
Commissioner,4
District attorney,4
Secretary of State,4
Secretary of the Treasury,4
Special counsel,4
State assemblyman,4
Counsel,3
Deputy attorney general,3
Instructor,3
Lecturer,3
Prosecutor,3
Special assistant to the Attorney General of the United States,3
U.S. Army,3
U.S. Army captain,3
U.S. Army first lieutenant,3
Advisor,2
Assistant director,2
Attorney,2
Chief counsel,2
Chief judge,2
City solicitor,2
Corporation counsel,2
Justice of the peace,2
Private secretary,2
Secretary of the Navy,2
U.S. Army colonel,2
U.S. Army lieutenant,2
Acting secretary of war,1
Actuary,1
Administrative assistant and liaison to military agencies,1
Administrator,1
Aide,1
Alcalde,1
Ambassador to the United Nations,1
Ambassador-at-large,1
American Civil Liberties Union,1
Arbitrator,1
Assistant attorney,1
Assistant chief,1
Assistant county attorney,1
Assistant county solicitor,1
Assistant district attorney,1
Assistant federal public defender,1
Assistant prosecutor,1
Assistant secretary and secretary,1
Assistant secretary for civil rights,1
Assistant secretary of state,1
Assistant secretary of war for the draft,1
Assistant special counsel,1
Assistant special prosecutor,1
Assistant to the president and staff secretary,1
Assistant to the Secretary of War,1
Assistant to the solicitor general,1
Associate independent counsel,1
Attorney general pro tem,1
Avocat général for maritime and commercial causes,1
Board member,1
Businessman,1
California Army National Guard private first class,1
Candidate for U.S. House of Representatives from Michigan,1
Candidate for U.S. Senate from New York,1
Candidate for U.S. Senate from Utah,1
Chief U.S. prosecutor,1
Civil attorney,1
Civil district attorney,1
Civil governor,1
Clerk in private practice,1
Collector of customs,1
Collector of internal revenue,1
Columbia Law School Project on International Procedure,1
Commissioner of appeals,1
Commissioner to preserve confiscated British property,1
Commonwealth attorney,1
Comptroller,1
Comptroller of customs,1
Confederate Army judge advocate,1
Confederate Army lieutenant,1
Confederate Army lieutenant colonel,1
Confederate Army sergeant major,1
Continental Army,1
Continental Army lieutenant,1
Continental Army lieutenant colonel,1
Continental Army officer,1
Continental Army private,1
Convention member,1
Counsel for Rutherford B. Hayes before congressional electoral commission,1
Counselor,1
County attorney,1
Court reporter,1
Culpeper County [Virginia] Minutemen lieutenant,1
Dean of law department,1
Deputy assistant attorney general,1
Deputy assistant for domestic policy and deputy director of the domestic policy council,1
Deputy city attorney,1
Deputy county attorney,1
Deputy district attorney,1
Deputy U.S. marshal,1
Director of law for Cleveland,1
Director/counsel,1
Drafter,1
Examiner,1
Fellow,1
Fifty-First Ohio Volunteers colonel,1
First assistant district attorney,1
Founder/editor,1
George Washington University Law School,1
Governor and chancellor,1
Governor general,1
Head of legal department,1
Henry Fellowship,1
High commissioner,1
Imprisoned by British in New York,1
Law officer,1
Lecturer in law,1
Lecturer on common law,1
Legal secretary,1
Legislative assistant,1
Legislative correspondent,1
Lieutenant governor,1
Maryland Militia brigadier general,1
Maryland state militia private,1
Military secretary,1
Minister plenipotentiary to France,1
Minister to France,1
Minister to Mexico,1
Mustermaster/commissary of stores,1
NAACP,1
Negotiator of Jay Treaty with Great Britain,1
Negotiator of Treaty of Paris with Great Britain,1
North Carolina Militia colonel,1
Official court reporter,1
Postmaster,1
Postmaster general of the United States,1
President judge,1
President of the United States,1
Principal deputy solicitor general,1
Principal deputy to the associate attorney general and acting associate attorney general,1
Private practice and cotton planter,1
Private practice and sugar planter,1
Private practice/businessman,1
Professional football player,1
Publisher,1
Receiver of alien property,1
Recorder,1
Reporter,1
Republican candidate for president of the United States,1
Republican candidate for vice president of the United States,1
Rhodes Scholar,1
Second judge,1
Secretary,1
Secretary of foreign affairs under Articles of Confederation,1
Secretary of Labor,1
Secretary of the Interior,1
Secretary of the U.S. Navy,1
Secretary of War,1
Sheldon Fellow,1
Soldier under Andrew Jackson,1
Solicitor,1
Somerset County [New Jersey] Battalion of Minutemen officer,1
Speaker,1
Special assistant,1
Special assistant to the assistant attorney general,1
Special assistant to the attorney general,1
Special Confederate commissioner to Russia,1
Special deputy attorney general for the Eastern District of Pennsylvania,1
Special judge,1
Special lecturer,1
State senator-elect (did not serve),1
State's attorney,1
Territorial representative,1
Trustee,1
Twenty-Third Ohio Infantry lieutenant colonel,1
U.S. Army major general,1
U.S. Army private and officer trainee,1
U.S. Army Reserves major,1
U.S. Army soldier,1
U.S. Department of Justice,1
U.S. minister plenipotentiary to Spain,1
U.S. Naval Reserve lieutenant commander,1
U.S. Naval Reserve lieutenant junior grade,1
U.S. Navy,1
Umpire,1
Undersecretary of the interior,1
Vice chair,1
