Supreme Court Justices,Academia / Professor,Private Practice,Public Defender,Judge - Federal Appellate,Judge - District Court Federal Judge,State Judge,Civil Rights Lawyer,Prosecutor,White House position,Civil Legal Services,Law Clerk,Government (other),Military Experience,Court
"John G. Roberts, Jr",0,1,0,1,0,0,0,1,1,0,1,1,0,CURRENT COURT MARCH 2026
Clarence Thomas,0,1,0,1,0,0,1,1,0,0,0,1,0,CURRENT COURT MARCH 2026
"Samuel A. Alito, Jr.",0,0,0,1,0,0,0,1,0,0,1,1,0,CURRENT COURT MARCH 2026
Sonia Sotomayor,0,1,0,1,1,0,0,1,0,0,0,0,0,CURRENT COURT MARCH 2026
Elena Kagan,1,1,0,0,0,0,0,0,1,0,1,1,0,CURRENT COURT MARCH 2026
Neil M. Gorsuch,1,1,0,1,0,0,0,1,0,0,1,0,0,CURRENT COURT MARCH 2026
Brett M. Kavanaugh,0,1,0,1,0,0,0,0,1,0,1,1,0,CURRENT COURT MARCH 2026
Amy Coney Barrett,1,1,0,1,0,0,0,0,0,0,1,0,0,CURRENT COURT MARCH 2026
Ketanji Brown Jackson,0,1,1,1,1,0,0,0,0,0,1,1,0,CURRENT COURT MARCH 2026
William Rehnquist,0,1,0,0,0,0,0,1,0,0,1,1,1,March 2001 Supreme Court
John Paul Stevens,1,1,0,1,0,0,0,0,0,0,0,1,1,March 2001 Supreme Court
Sandra Day O'Connor,0,1,0,0,0,1,0,1,0,0,0,1,1,March 2001 Supreme Court
Antonin Scalia,1,1,0,1,0,0,0,1,1,0,0,1,0,March 2001 Supreme Court
Anthony Kennedy,1,1,0,1,0,0,0,0,0,0,0,0,1,March 2001 Supreme Court
David Souter,0,1,0,1,0,1,0,1,0,0,0,0,0,March 2001 Supreme Court
Ruth Bader Ginsburg,1,0,0,1,0,0,0,0,0,1,1,0,0,March 2001 Supreme Court
Stephen Breyer,1,0,0,1,0,0,0,1,0,0,1,1,1,March 2001 Supreme Court
Clarence Thomas,0,1,0,1,0,0,1,1,0,0,0,1,0,March 2001 Supreme Court
Warren E. Burger,1,1,0,1,0,0,0,1,0,0,0,1,0,March 1976 Supreme Court
Thurgood Marshall,0,1,0,1,0,0,1,0,0,0,0,1,0,March 1976 Supreme Court
Bryon White,0,1,0,0,0,0,0,1,0,0,1,0,1,March 1976 Supreme Court
Potter Stewart,0,1,0,1,0,0,0,0,0,0,0,0,1,March 1976 Supreme Court
William J Brennan Jr.,0,1,0,0,0,1,0,0,0,0,0,0,1,March 1976 Supreme Court
Harry Blackmun,0,1,0,1,0,0,0,0,0,0,1,0,0,March 1976 Supreme Court
Lewis F Powell Jr.,0,1,0,0,0,0,0,0,0,0,0,0,1,March 1976 Supreme Court
William Rehnquist,0,1,0,0,0,0,0,1,0,0,1,1,1,March 1976 Supreme Court
John Paul Stevens,1,1,0,1,0,0,0,0,0,0,0,1,1,March 1976 Supreme Court
Fred M Vinson,0,1,0,1,0,0,0,0,0,0,0,1,1,March 1951 Supreme Court
Tom C Clark,0,1,0,0,0,0,0,1,0,0,0,1,0,March 1951 Supreme Court
Sherman Minton,0,1,0,1,0,0,0,0,0,0,0,1,1,March 1951 Supreme Court
Harold H Burton,0,1,0,0,0,0,0,0,0,0,0,1,1,March 1951 Supreme Court
Robert H Jackson,0,1,0,0,0,0,0,1,0,0,0,1,0,March 1951 Supreme Court
William O Douglas,1,1,0,0,0,0,0,0,0,0,0,1,0,March 1951 Supreme Court
Felix Frankfurter,1,1,0,0,0,0,0,1,0,0,0,1,1,March 1951 Supreme Court
Stanley Forman Reed,0,1,0,0,0,0,0,0,0,0,0,1,1,March 1951 Supreme Court
Hugo Black,0,1,0,0,0,1,0,1,0,0,0,1,1,March 1951 Supreme Court
